3.3 chunk_size+growth_factor
STAT libevent 2.1.8-stable
STAT pointer_size 64
STAT rusage_user 3.216000
STAT rusage_system 11.580000
STAT max_connections 1024
STAT curr_connections 2
STAT total_connections 103
STAT rejected_connections 0
STAT connection_structures 3
STAT reserved_fds 20
STAT cmd_get 0
STAT cmd_set 1000000
STAT cmd_flush 0
STAT cmd_touch 0
STAT get_hits 0
STAT get_misses 0
STAT get_expired 0
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
STAT cas_misses 0
STAT cas_hits 0
STAT cas_badval 0
STAT touch_hits 0
STAT touch_misses 0
STAT auth_cmds 0
STAT auth_errors 0
STAT bytes_read 78416787
STAT bytes_written 8000000
STAT limit_maxbytes 67108864
STAT accepting_conns 1
STAT listen_disabled_num 0
STAT time_in_listen_disabled_us 0
STAT threads 4
STAT conn_yields 0
STAT hash_power_level 19
STAT hash_bytes 4194304
STAT hash_is_expanding 0
STAT slab_reassign_rescues 0
STAT slab_reassign_chunk_rescues 0
STAT slab_reassign_evictions_nomem 0
STAT slab_reassign_inline_reclaim 0
STAT slab_reassign_busy_items 0
STAT slab_reassign_busy_deletes 0
STAT slab_reassign_running 0
STAT slabs_moved 0
STAT lru_crawler_running 0
STAT lru_crawler_starts 255
STAT lru_maintainer_juggles 39535
STAT malloc_fails 0
STAT log_worker_dropped 0
STAT log_worker_written 0
STAT log_watcher_skipped 0
STAT log_watcher_sent 0
STAT bytes 57084736
STAT curr_items 470424
STAT total_items 1000000
STAT slab_global_page_pool 0
STAT expired_unfetched 0
STAT evicted_unfetched 529576
STAT evicted_active 0
STAT evictions 529576
STAT reclaimed 0
STAT crawler_reclaimed 0
STAT crawler_items_checked 0
STAT lrutail_reflocked 0
STAT moves_to_cold 1000000
STAT moves_to_warm 0
STAT moves_within_lru 0
STAT direct_reclaims 529576
STAT lru_bumps_dropped 0
END
u1,100 growth_factor 1.40
 66318.0 0.0
STAT pid 102970
STAT uptime 58
STAT time 1559444071
STAT version 1.5.14
STAT libevent 2.1.8-stable
STAT pointer_size 64
STAT rusage_user 3.652000
STAT rusage_system 8.732000
STAT max_connections 1024
STAT curr_connections 2
STAT total_connections 103
STAT rejected_connections 0
STAT connection_structures 3
STAT reserved_fds 20
STAT cmd_get 0
STAT cmd_set 1000000
STAT cmd_flush 0
STAT cmd_touch 0
STAT get_hits 0
STAT get_misses 0
STAT get_expired 0
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
STAT cas_misses 0
STAT cas_hits 0
STAT cas_badval 0
STAT touch_hits 0
STAT touch_misses 0
STAT auth_cmds 0
STAT auth_errors 0
STAT bytes_read 78416787
STAT bytes_written 8000000
STAT limit_maxbytes 67108864
STAT accepting_conns 1
STAT listen_disabled_num 0
STAT time_in_listen_disabled_us 0
STAT threads 4
STAT conn_yields 0
STAT hash_power_level 19
STAT hash_bytes 4194304
STAT hash_is_expanding 0
STAT slab_reassign_rescues 0
STAT slab_reassign_chunk_rescues 0
STAT slab_reassign_evictions_nomem 0
STAT slab_reassign_inline_reclaim 0
STAT slab_reassign_busy_items 0
STAT slab_reassign_busy_deletes 0
STAT slab_reassign_running 0
STAT slabs_moved 0
STAT lru_crawler_running 0
STAT lru_crawler_starts 255
STAT lru_maintainer_juggles 30897
STAT malloc_fails 0
STAT log_worker_dropped 0
STAT log_worker_written 0
STAT log_watcher_skipped 0
STAT log_watcher_sent 0
STAT bytes 56026492
STAT curr_items 463551
STAT total_items 1000000
STAT slab_global_page_pool 0
STAT expired_unfetched 0
STAT evicted_unfetched 536449
STAT evicted_active 0
STAT evictions 536449
STAT reclaimed 0
STAT crawler_reclaimed 0
STAT crawler_items_checked 0
STAT lrutail_reflocked 0
STAT moves_to_cold 1000000
STAT moves_to_warm 0
STAT moves_within_lru 0
STAT direct_reclaims 536449
STAT lru_bumps_dropped 0
END
u1,100 growth_factor 1.45
 66895.4 0.0
STAT pid 102992
STAT uptime 58
STAT time 1559444131
STAT version 1.5.14
STAT libevent 2.1.8-stable
STAT pointer_size 64
STAT rusage_user 3.456000
STAT rusage_system 8.856000
STAT max_connections 1024
STAT curr_connections 2
STAT total_connections 103
STAT rejected_connections 0
STAT connection_structures 3
STAT reserved_fds 20
STAT cmd_get 0
STAT cmd_set 1000000
STAT cmd_flush 0
STAT cmd_touch 0
STAT get_hits 0
STAT get_misses 0
STAT get_expired 0
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
STAT cas_misses 0
STAT cas_hits 0
STAT cas_badval 0
STAT touch_hits 0
STAT touch_misses 0
STAT auth_cmds 0
STAT auth_errors 0
STAT bytes_read 78416787
STAT bytes_written 8000000
STAT limit_maxbytes 67108864
STAT accepting_conns 1
STAT listen_disabled_num 0
STAT time_in_listen_disabled_us 0
STAT threads 4
STAT conn_yields 0
STAT hash_power_level 19
STAT hash_bytes 4194304
STAT hash_is_expanding 0
STAT slab_reassign_rescues 0
STAT slab_reassign_chunk_rescues 0
STAT slab_reassign_evictions_nomem 0
STAT slab_reassign_inline_reclaim 0
STAT slab_reassign_busy_items 0
STAT slab_reassign_busy_deletes 0
STAT slab_reassign_running 0
STAT slabs_moved 0
STAT lru_crawler_running 0
STAT lru_crawler_starts 255
STAT lru_maintainer_juggles 29634
STAT malloc_fails 0
STAT log_worker_dropped 0
STAT log_worker_written 0
STAT log_watcher_skipped 0
STAT log_watcher_sent 0
STAT bytes 54611189
STAT curr_items 448634
STAT total_items 1000000
STAT slab_global_page_pool 0
STAT expired_unfetched 0
STAT evicted_unfetched 551366
STAT evicted_active 0
STAT evictions 551366
STAT reclaimed 0
STAT crawler_reclaimed 0
STAT crawler_items_checked 0
STAT lrutail_reflocked 0
STAT moves_to_cold 1000000
STAT moves_to_warm 0
STAT moves_within_lru 0
STAT direct_reclaims 551366
STAT lru_bumps_dropped 0
END
u1,100 growth_factor 1.50
 66696.1 0.0
STAT pid 103017
STAT uptime 57
STAT time 1559444189
STAT version 1.5.14
STAT libevent 2.1.8-stable
STAT pointer_size 64
STAT rusage_user 3.424000
STAT rusage_system 8.796000
STAT max_connections 1024
STAT curr_connections 2
STAT total_connections 103
STAT rejected_connections 0
STAT connection_structures 3
STAT reserved_fds 20
STAT cmd_get 0
STAT cmd_set 1000000
STAT cmd_flush 0
STAT cmd_touch 0
STAT get_hits 0
STAT get_misses 0
STAT get_expired 0
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
STAT cas_misses 0
STAT cas_hits 0
STAT cas_badval 0
STAT touch_hits 0
STAT touch_misses 0
STAT auth_cmds 0
STAT auth_errors 0
STAT bytes_read 78416787
STAT bytes_written 8000000
STAT limit_maxbytes 67108864
STAT accepting_conns 1
STAT listen_disabled_num 0
STAT time_in_listen_disabled_us 0
STAT threads 4
STAT conn_yields 0
STAT hash_power_level 19
STAT hash_bytes 4194304
STAT hash_is_expanding 0
STAT slab_reassign_rescues 0
STAT slab_reassign_chunk_rescues 0
STAT slab_reassign_evictions_nomem 0
STAT slab_reassign_inline_reclaim 0
STAT slab_reassign_busy_items 0
STAT slab_reassign_busy_deletes 0
STAT slab_reassign_running 0
STAT slabs_moved 0
STAT lru_crawler_running 0
STAT lru_crawler_starts 255
STAT lru_maintainer_juggles 34032
STAT malloc_fails 0
STAT log_worker_dropped 0
STAT log_worker_written 0
STAT log_watcher_skipped 0
STAT log_watcher_sent 0
STAT bytes 53903512
STAT curr_items 444146
STAT total_items 1000000
STAT slab_global_page_pool 0
STAT expired_unfetched 0
STAT evicted_unfetched 555854
STAT evicted_active 0
STAT evictions 555854
STAT reclaimed 0
STAT crawler_reclaimed 0
STAT crawler_items_checked 0
STAT lrutail_reflocked 0
STAT moves_to_cold 1000000
STAT moves_to_warm 0
STAT moves_within_lru 0
STAT direct_reclaims 555854
STAT lru_bumps_dropped 0
END
u1,100 growth_factor 1.55
 56000.9 0.0
STAT pid 103041
STAT uptime 60
STAT time 1559444251
STAT version 1.5.14
STAT libevent 2.1.8-stable
STAT pointer_size 64
STAT rusage_user 3.852000
STAT rusage_system 10.060000
STAT max_connections 1024
STAT curr_connections 2
STAT total_connections 103
STAT rejected_connections 0
STAT connection_structures 3
STAT reserved_fds 20
STAT cmd_get 0
STAT cmd_set 1000000
STAT cmd_flush 0
STAT cmd_touch 0
STAT get_hits 0
STAT get_misses 0
STAT get_expired 0
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
STAT cas_misses 0
STAT cas_hits 0
STAT cas_badval 0
STAT touch_hits 0
STAT touch_misses 0
STAT auth_cmds 0
STAT auth_errors 0
STAT bytes_read 78416787
STAT bytes_written 8000000
STAT limit_maxbytes 67108864
STAT accepting_conns 1
STAT listen_disabled_num 0
STAT time_in_listen_disabled_us 0
STAT threads 4
STAT conn_yields 0
STAT hash_power_level 19
STAT hash_bytes 4194304
STAT hash_is_expanding 0
STAT slab_reassign_rescues 0
STAT slab_reassign_chunk_rescues 0
STAT slab_reassign_evictions_nomem 0
STAT slab_reassign_inline_reclaim 0
STAT slab_reassign_busy_items 0
STAT slab_reassign_busy_deletes 0
STAT slab_reassign_running 0
STAT slabs_moved 0
STAT lru_crawler_running 0
STAT lru_crawler_starts 255
STAT lru_maintainer_juggles 25838
STAT malloc_fails 0
STAT log_worker_dropped 0
STAT log_worker_written 0
STAT log_watcher_skipped 0
STAT log_watcher_sent 0
STAT bytes 52685659
STAT curr_items 433661
STAT total_items 1000000
STAT slab_global_page_pool 0
STAT expired_unfetched 0
STAT evicted_unfetched 566339
STAT evicted_active 0
STAT evictions 566339
STAT reclaimed 0
STAT crawler_reclaimed 0
STAT crawler_items_checked 0
STAT lrutail_reflocked 0
STAT moves_to_cold 1000000
STAT moves_to_warm 0
STAT moves_within_lru 0
STAT direct_reclaims 566339
STAT lru_bumps_dropped 0
END
u1,100 growth_factor 1.60
 48672.2 0.0
STAT pid 103063
STAT uptime 63
STAT time 1559444315
STAT version 1.5.14
STAT libevent 2.1.8-stable
STAT pointer_size 64
STAT rusage_user 3.412000
STAT rusage_system 11.360000
STAT max_connections 1024
STAT curr_connections 2
STAT total_connections 103
STAT rejected_connections 0
STAT connection_structures 3
STAT reserved_fds 20
STAT cmd_get 0
STAT cmd_set 1000000
STAT cmd_flush 0
STAT cmd_touch 0
STAT get_hits 0
STAT get_misses 0
STAT get_expired 0
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
STAT cas_misses 0
STAT cas_hits 0
STAT cas_badval 0
STAT touch_hits 0
STAT touch_misses 0
STAT auth_cmds 0
STAT auth_errors 0
STAT bytes_read 78416787
STAT bytes_written 8000000
STAT limit_maxbytes 67108864
STAT accepting_conns 1
STAT listen_disabled_num 0
STAT time_in_listen_disabled_us 0
STAT threads 4
STAT conn_yields 0
STAT hash_power_level 19
STAT hash_bytes 4194304
STAT hash_is_expanding 0
STAT slab_reassign_rescues 0
STAT slab_reassign_chunk_rescues 0
STAT slab_reassign_evictions_nomem 0
STAT slab_reassign_inline_reclaim 0
STAT slab_reassign_busy_items 0
STAT slab_reassign_busy_deletes 0
STAT slab_reassign_running 0
STAT slabs_moved 0
STAT lru_crawler_running 0
STAT lru_crawler_starts 255
STAT lru_maintainer_juggles 19986
STAT malloc_fails 0
STAT log_worker_dropped 0
STAT log_worker_written 0
STAT log_watcher_skipped 0
STAT log_watcher_sent 0
STAT bytes 52877118
STAT curr_items 436055
STAT total_items 1000000
STAT slab_global_page_pool 0
STAT expired_unfetched 0
STAT evicted_unfetched 563945
STAT evicted_active 0
STAT evictions 563945
STAT reclaimed 0
STAT crawler_reclaimed 0
STAT crawler_items_checked 0
STAT lrutail_reflocked 0
STAT moves_to_cold 1000000
STAT moves_to_warm 0
STAT moves_within_lru 0
STAT direct_reclaims 563945
STAT lru_bumps_dropped 0
END
u1,100 growth_factor 1.65
 68758.2 0.0
STAT pid 103085
STAT uptime 57
STAT time 1559444374
STAT version 1.5.14
STAT libevent 2.1.8-stable
STAT pointer_size 64
STAT rusage_user 3.272000
STAT rusage_system 8.668000
STAT max_connections 1024
STAT curr_connections 2
STAT total_connections 103
STAT rejected_connections 0
STAT connection_structures 3
STAT reserved_fds 20
STAT cmd_get 0
STAT cmd_set 1000000
STAT cmd_flush 0
STAT cmd_touch 0
STAT get_hits 0
STAT get_misses 0
STAT get_expired 0
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
