CC_Throughput_set_threads_number1
300 161796.5 1.8
400 158870.9 2.5
500 164532.5 3.0
600 153043.7 3.9
700 161449.1 4.3
800 159869.1 4.9
900 137902.4 5.9
1000 156744.6 5.4
CC_Throughput_get_threads_number50
1 68608.0 0.0
10 145757.9 0.1
50 151626.8 0.3
100 154016.0 0.6
200 160977.9 1.2
300 162932.2 1.8
400 161828.2 2.4
500 152441.1 3.3
600 158610.6 3.7
700 156559.0 4.4
800 164491.3 4.6
900 152792.6 5.1
1000 161115.8 5.1
CC_Throughput_get_threads_number60
1 74416.9 0.0
10 126658.8 0.1
50 152091.3 0.3
100 148126.6 0.7
200 159214.0 1.3
300 152603.8 2.0
400 136233.2 2.9
500 156050.4 3.2
600 150181.9 4.0
700 151676.5 4.6
800 155544.2 4.6
900 153267.5 4.9
1000 157933.5 5.0

Throughput_Latency_set_threads_number1
 9999.7 0.1
 19994.9 0.2
 29984.9 0.2
 39970.5 0.2
 49952.0 0.2
 59925.2 0.3
 69903.7 0.3
 79863.2 0.3
 89848.2 0.3
 99803.9 0.4
 109748.3 0.4
 119675.9 0.5
 129668.8 0.5
 139585.5 0.5
 149523.8 0.7
 159279.4 0.8
 169294.9 0.8
 179276.8 1.1
 188994.8 1.4
 198878.2 2.1
 208938.1 0.7
 215581.2 2.8
 209458.9 2.9
 197821.0 3.4
 207948.1 2.7
Throughput_Latency_set_threads_number2
 9999.7 0.1
 19994.9 0.1
 29986.9 0.1
 39970.5 0.2
 49953.0 0.2
 59926.2 0.2
 69904.4 0.2
 79863.3 0.3
 89834.3 0.2
 99804.6 0.3
 109750.7 0.3
 119708.3 0.4
 129670.2 0.4
 139584.8 0.4
 149527.2 0.5
 159491.4 0.6
 169383.3 0.9
 179280.2 1.3
 185174.0 2.7
 189925.2 4.1
 207213.9 3.9
 195044.9 4.7
 192406.3 5.3
 191040.6 4.4
 185417.2 4.9
Throughput_Latency_set_threads_number3
 9999.7 0.1
 19994.9 0.1
 29986.9 0.1
 39970.5 0.1
 49949.0 0.1
 59926.9 0.2
 69904.5 0.2
 79863.5 0.2
 89851.8 0.3
 99805.2 0.3
 109750.8 0.3
 119708.3 0.4
 129671.5 0.4
 139591.3 0.5
 149527.4 0.5
 159493.7 0.8
 169383.0 1.8
 179078.6 0.7
 179857.4 4.9
 182447.6 5.1
 184119.2 5.0
 193928.6 4.3
 199272.0 5.9
 192343.4 6.7
 180278.6 5.4
Throughput_Latency_set_threads_number4
 9999.9 0.1
 19995.0 0.1
 29986.8 0.1
 39970.6 0.2
 49953.0 0.2
 59926.9 0.2
 69904.6 0.3
 79874.8 0.3
 89852.1 0.3
 99805.5 0.3
 109750.5 0.4
 119708.3 0.4
 129671.9 0.5
 139591.2 0.6
 149527.2 1.0
 159494.2 1.2
 169383.7 1.2
 175968.0 3.9
 185965.9 4.8
 196530.6 3.5
 184526.2 5.9
 180088.5 5.6
 178698.9 5.7
 191273.7 5.3
 187705.7 6.0
Throughput_Latency_set_threads_number10
 9999.7 0.1
 19994.9 0.1
 29985.1 0.2
 39970.5 0.2
 49952.8 0.2
 59926.8 0.2
 69904.6 0.3
 79876.6 0.3
 89835.7 0.3
 99785.1 0.4
 109747.2 0.4
 119708.3 0.4
 129606.6 0.5
 139546.2 0.6
 149349.1 0.8
 159493.2 0.5
 169382.5 1.6
 179261.8 1.2
 188060.9 2.6
 198564.9 1.9
 188303.1 3.3
 178649.7 3.1
 185750.0 3.5
 181622.2 3.3
 184075.5 3.6
Throughput_Latency_set_threads_number20
 9999.7 0.1
 19994.9 0.1
 29986.9 0.1
 39970.5 0.2
 49952.9 0.2
 59926.7 0.2
 69903.4 0.3
 79876.2 0.3
 89834.9 0.4
 99805.0 0.3
 109750.3 0.4
 119707.9 0.4
 129667.8 0.4
 139584.8 0.4
 149526.5 0.6
 159492.3 0.8
 169382.1 0.8
 179137.4 1.6
 189104.3 1.7
 197699.3 2.0
 188868.8 2.9
 176490.3 3.2
 178581.8 3.0
 183206.5 2.9
 193523.6 3.0
Throughput_Latency_set_threads_number30
 9999.7 0.1
 19994.9 0.1
 29985.1 0.1
 39970.4 0.2
 49952.5 0.2
 59919.3 0.2
 69894.5 0.2
 79863.0 0.3
 89819.6 0.3
 99805.0 0.3
 109749.9 0.4
 119618.5 0.3
 129639.5 0.5
 139554.6 0.4
 149348.3 1.0
 158750.9 0.8
 169382.4 1.6
 179276.8 1.6
 187981.3 2.2
 183014.9 2.9
 175261.7 3.5
 180089.0 3.0
 180039.8 2.9
 180011.2 3.0
 179231.2 3.3
Throughput_Latency_set_threads_number40
 9999.7 0.1
 19994.9 0.1
 29985.1 0.1
 39970.6 0.2
 49953.0 0.2
 59926.8 0.2
 69904.3 0.2
 79876.6 0.3
 89835.2 0.3
 99765.5 0.3
 109750.8 0.3
 119707.8 0.4
 129672.2 0.4
 139549.0 0.7
 149527.2 0.9
 159447.5 0.8
 169380.4 1.6
 179136.3 2.2
 178629.0 3.0
 176566.5 3.3
 169478.6 3.5
 164632.4 3.3
 170811.8 4.0
 158475.0 3.4
 175918.6 3.2
Throughput_Latency_set_threads_number50
 9999.9 0.1
 19994.9 0.1
 29985.1 0.1
 39970.4 0.2
 49953.0 0.2
 59926.7 0.2
 69904.6 0.2
 79875.7 0.3
 89835.3 0.3
 99805.4 0.3
 109750.8 0.3
 119647.3 0.4
 129636.4 0.4
 139544.9 0.5
 149480.7 0.7
 159444.2 1.3
