set_throughput 40520.55 get_throughput 40520.55 set_latency 0.62 get_latency 0.61
set_throughput 79362.87 get_throughput 79362.87 set_latency 0.63 get_latency 0.63
set_throughput 116220.86 get_throughput 116220.86 set_latency 0.65 get_latency 0.65
set_throughput 157088.81 get_throughput 157088.81 set_latency 0.64 get_latency 0.64
set_throughput 180576.09 get_throughput 180576.09 set_latency 0.65 get_latency 0.65
set_throughput 229771.55 get_throughput 229771.55 set_latency 0.65 get_latency 0.65
set_throughput 263132.06 get_throughput 263132.06 set_latency 0.66 get_latency 0.66
set_throughput 306779.59 get_throughput 306779.59 set_latency 0.67 get_latency 0.67
set_throughput 307937.90 get_throughput 307937.90 set_latency 0.74 get_latency 0.73
set_throughput 351859.16 get_throughput 351859.16 set_latency 0.73 get_latency 0.73
set_throughput 380514.32 get_throughput 380514.32 set_latency 0.77 get_latency 0.76
set_throughput 364609.30 get_throughput 364609.30 set_latency 0.80 get_latency 0.79
set_throughput 429759.14 get_throughput 429759.14 set_latency 0.83 get_latency 0.82
set_throughput 399877.93 get_throughput 399877.93 set_latency 0.87 get_latency 0.86
set_throughput 476293.72 get_throughput 476293.72 set_latency 0.96 get_latency 0.95
