bytes100
growth_factor 1.05 STAT bytes 64231869
growth_factor 1.10 STAT bytes 62531888
growth_factor 1.15 STAT bytes 61662807
growth_factor 1.20 STAT bytes 60472481
growth_factor 1.25 STAT bytes 59119457
growth_factor 1.30 STAT bytes 58750597
growth_factor 1.35 STAT bytes 57084736
growth_factor 1.40 STAT bytes 56026492
growth_factor 1.45 STAT bytes 54611189
growth_factor 1.50 STAT bytes 53903512
growth_factor 1.55 STAT bytes 52685659
growth_factor 1.60 STAT bytes 52877118
growth_factor 1.65 STAT bytes 52465207
growth_factor 1.70 STAT bytes 53228570
growth_factor 1.75 STAT bytes 52951718
growth_factor 1.80 STAT bytes 52221700
growth_factor 1.85 STAT bytes 50352208
growth_factor 1.90 STAT bytes 50352208
growth_factor 1.95 STAT bytes 48451813
growth_factor 2.00 STAT bytes 48451864
bytes1000
growth_factor 1.05 STAT bytes 64776989
growth_factor 1.10 STAT bytes 63694445
growth_factor 1.15 STAT bytes 62459267
growth_factor 1.20 STAT bytes 60827754
growth_factor 1.25 STAT bytes 59592792
growth_factor 1.30 STAT bytes 58852964
growth_factor 1.35 STAT bytes 57698187
growth_factor 1.40 STAT bytes 57243416
growth_factor 1.45 STAT bytes 54834176
growth_factor 1.50 STAT bytes 55161884
growth_factor 1.55 STAT bytes 52736315
growth_factor 1.60 STAT bytes 54244991
growth_factor 1.65 STAT bytes 51864324
growth_factor 1.70 STAT bytes 49744481
growth_factor 1.75 STAT bytes 49329006
growth_factor 1.80 STAT bytes 51172566
growth_factor 1.85 STAT bytes 49699279
growth_factor 1.90 STAT bytes 47930088
growth_factor 1.95 STAT bytes 46105227
growth_factor 2.00 STAT bytes 45235541
bytes10000
growth_factor 1.05 STAT bytes 46800746
growth_factor 1.10 STAT bytes 57229611
growth_factor 1.15 STAT bytes 58223999
growth_factor 1.20 STAT bytes 58269042
growth_factor 1.25 STAT bytes 57526235
growth_factor 1.30 STAT bytes 56789948
growth_factor 1.35 STAT bytes 56014371
growth_factor 1.40 STAT bytes 55015929
growth_factor 1.45 STAT bytes 53912966
growth_factor 1.50 STAT bytes 52943219
growth_factor 1.55 STAT bytes 51800362
growth_factor 1.60 STAT bytes 51956248
growth_factor 1.65 STAT bytes 50768913
growth_factor 1.70 STAT bytes 49880137
growth_factor 1.75 STAT bytes 48516858
growth_factor 1.80 STAT bytes 49703179
growth_factor 1.85 STAT bytes 46584223
growth_factor 1.90 STAT bytes 46775001
growth_factor 1.95 STAT bytes 48871455
growth_factor 2.00 STAT bytes 45943645
