evictions100
growth_factor 1.05 evictions 475860
growth_factor 1.10 evictions 483865
growth_factor 1.15 evictions 494204
growth_factor 1.20 evictions 502695
growth_factor 1.25 evictions 514773
growth_factor 1.30 evictions 516696
growth_factor 1.35 evictions 529576
growth_factor 1.40 evictions 536449
growth_factor 1.45 evictions 551366
growth_factor 1.50 evictions 555854
growth_factor 1.55 evictions 566339
growth_factor 1.60 evictions 563945
growth_factor 1.65 evictions 567902
growth_factor 1.70 evictions 561569
growth_factor 1.75 evictions 564562
growth_factor 1.80 evictions 569102
growth_factor 1.85 evictions 583088
growth_factor 1.90 evictions 583088
growth_factor 1.95 evictions 601347
growth_factor 2.00 evictions 601347
evictions1000
growth_factor 1.05 evictions 807452
growth_factor 1.10 evictions 851379
growth_factor 1.15 evictions 860548
growth_factor 1.20 evictions 871367
growth_factor 1.25 evictions 875522
growth_factor 1.30 evictions 880109
growth_factor 1.35 evictions 886396
growth_factor 1.40 evictions 887066
growth_factor 1.45 evictions 889910
growth_factor 1.50 evictions 889897
growth_factor 1.55 evictions 896972
growth_factor 1.60 evictions 894857
growth_factor 1.65 evictions 898499
growth_factor 1.70 evictions 904403
growth_factor 1.75 evictions 905630
growth_factor 1.80 evictions 899100
growth_factor 1.85 evictions 901587
growth_factor 1.90 evictions 904331
growth_factor 1.95 evictions 907468
growth_factor 2.00 evictions 909240
evictions10000
growth_factor 1.05 evictions 925624
growth_factor 1.10 evictions 942975
growth_factor 1.15 evictions 952396
growth_factor 1.20 evictions 957277
growth_factor 1.25 evictions 960821
growth_factor 1.30 evictions 963978
growth_factor 1.35 evictions 966187
growth_factor 1.40 evictions 967703
growth_factor 1.45 evictions 969444
growth_factor 1.50 evictions 971515
growth_factor 1.55 evictions 972793
growth_factor 1.60 evictions 972908
growth_factor 1.65 evictions 974038
growth_factor 1.70 evictions 975344
growth_factor 1.75 evictions 976356
growth_factor 1.80 evictions 976801
growth_factor 1.85 evictions 978425
growth_factor 1.90 evictions 978708
growth_factor 1.95 evictions 979058
growth_factor 2.00 evictions 979913
